1,"{c  >&IF4}"
2,"`;nhqDDnqz"
3,"Xw'$7i""Fh6"
4,"Z1/b+yn.=?"
5,",ok)~IsmVr"
6,"/oxM@P~d 7"
7,"*xr_NVD'|Z"
8,"!'YOP)#)8g"
9,"[\`_n=6h!|"
10,"$#&trVkGK."
11,"Upq:GkgW?3"
12,"0i89ej3wr<"
13,"j#5Hr9QnRy"
14,"z3zh)jerN?"
15,"J38=4:?]E="
16,"njw0dl?}HC"
17,".Q7n<t' `|"
18,"PK:""iE:q(6"
19,"*$MRPwqL~S"
20,"V#q%2Yk,]w"
21,"/@30tc[ E>"
22,"#G$8vK!-%1"
23,"v95)2SAy>k"
24,",.(oAL>V}F"
25,"tud/]dQy$q"
26,"N5\-MMP^v*"
27,"p>EAe<+H7c"
28,"#oZ0r#tOtD"
29,"^!'$""~|l%2"
30,"KW(z?an&Kg"
31,"<9&qA?+f=?"
32,"Be87lq7awj"
33,".M:k%.5J|1"
34,".t$H>%k&'%"
35,"z_Qg(:DP""A"
36,"X?:Vu?OH]9"
37,"'U)}5{""EhG"
38,"9s+Pw]<c{a"
39,"L&m"")PR<Yh"
40,"pQ*)Q<e3Zb"
41,"VU{IV/~uZ["
42,"%\t'&9@S:%"
43,"~Jsvv:Ms4K"
44,"-\U/k<O W%"
45,"u[/C:Xsk~%"
46,"rPShD?8Pv:"
47,"qo7yyj1={c"
48,"($U4Nkn0mp"
49,"YX|\,4x:td"
50,"VL1L;4P!!g"
51,"%K#*AqunuU"
52,"k%sI'Ivt\^"
53,"f)hd]!PviN"
54,"=Fg[Qzfu4%"
55,"[E6`Fhr}@`"
56,"/+5h>+1IgN"
57,"X '3Cp]IZw"
58,"&{?,]i+u-B"
59,"V)l7&od{zi"
60,"9s:g\O2aa}"
61,"k].qHFa&zv"
62,"x\hOyHA]IR"
63," 3}:9z/MM4"
64,"gCP2 xfG#M"
65,"or,oL_/7y/"
66,"^NxXD=""qdQ"
67,"lo/(bk6:kb"
68,"UU$&>NIo.T"
69,"$7:$)n_?im"
70,"S%>ukfnxB1"
71,"/=Dq_4ry^f"
72,"YGpCxxlVrH"
73,"~T&bf.2f7 "
74,"]56S|A2cP2"
75,"ib?8K|FO_c"
76,"$hd5~b<rtu"
77,"!2`B?YjXPz"
78,"rFVKS'f3MZ"
79,"J~7=-S=J""4"
80,"%a`|69xDJP"
81,"`D:>j416S*"
